id_cliente,data_resposta,nota,comentario
193,2024-11-12,2,Autem ad nostrum fuga sequi adipisci minima similique.
194,2024-09-26,5,Nostrum officiis asperiores possimus ea officiis facilis aspernatur ullam ratione.
194,2024-07-02,3,Quidem quo sit ab inventore consectetur quae sit id ratione.
194,2024-07-14,1,Voluptate maiores deleniti quod nemo reiciendis deserunt ducimus placeat earum.
195,2024-06-20,7,Molestiae nostrum eaque et id praesentium tempore.
195,2025-02-20,3,Recusandae hic perspiciatis natus earum blanditiis.
195,2024-07-17,10,Est dolor dolor quibusdam sapiente incidunt.
196,2024-08-07,3,Rerum at possimus magnam eveniet hic quos amet occaecati dicta.
197,2024-10-31,4,Tempore excepturi autem consequuntur modi quibusdam eos distinctio alias.
198,2024-11-16,3,Debitis dolores optio officiis enim tenetur ipsa quos.
198,2024-11-04,9,Incidunt quisquam vitae unde aspernatur ad incidunt velit.
199,2024-06-21,1,Cupiditate placeat tenetur dicta atque occaecati modi.
200,2024-08-11,10,Maxime aspernatur dolore vero aut voluptate laborum iure.
200,2025-03-02,10,Odit molestias nostrum tempora vel illo itaque voluptas natus molestiae.
